[-102.5038833618164, 0.006638906896114349]
[-103.06291198730469, 0.03538662940263748]
[-103.6304931640625, -0.03748922422528267]
[-104.2047119140625, -0.08493169397115707]
[-104.7595443725586, -0.09358608722686768]
[-105.32084655761719, -0.06526978313922882]
[-105.86172485351562, -0.10748155415058136]
[-106.39736938476562, -0.015218633227050304]
[-106.93684387207031, -0.013071189634501934]
[-107.46096801757812, -0.04243966564536095]
[-107.99137878417969, 0.05305357277393341]
[-108.50642395019531, -0.007907096296548843]
[-108.98603820800781, -0.06753005087375641]
[-109.46478271484375, 0.005646891891956329]
[-109.96621704101562, 0.06924639642238617]
[-110.4432144165039, -0.027778787538409233]
[-110.92317962646484, 0.04640628397464752]
[-111.38690948486328, 0.031993318349123]
[-111.85884857177734, -0.021406181156635284]
[-112.3356704711914, -0.03556829318404198]
[-112.80010986328125, 0.1537516862154007]
[-113.18966674804688, -0.18998776376247406]
[-113.71186828613281, -0.012533201836049557]
[-114.21661376953125, -0.0007449901895597577]
[-114.7438735961914, -0.057178862392902374]
[-115.2686996459961, 0.01949160546064377]
[-115.82109832763672, -0.008088631555438042]
[-116.38780212402344, 0.016284527257084846]
[-116.92135620117188, -0.010572336614131927]
[-117.50865173339844, -0.09503906220197678]
[-118.12004089355469, -0.07326585799455643]
[-118.71554565429688, 0.02809286117553711]
[-119.32379913330078, -0.04122107848525047]
[-119.97444915771484, -0.06082161143422127]
[-120.63087463378906, -0.0329471230506897]
[-121.276123046875, -0.012045799754559994]
[-121.97547912597656, 0.12393028289079666]
[-122.62246704101562, 0.019288593903183937]
[-123.27645111083984, -0.009432457387447357]
[-123.93704986572266, -0.03441297262907028]
[-124.61825561523438, -0.06276766210794449]
[-125.25565338134766, -0.041702646762132645]
[-125.97175598144531, -0.0016569251893088222]
[-126.64022064208984, -0.034429796040058136]
[-127.29855346679688, -0.04495474323630333]
[-127.96736907958984, -0.09179821610450745]
